<<<<<<< HEAD
Name			Price	Spicy	Hot	Calories	Restrictions	Meat	Seafood	Noodles
Pastrmajlija		17.00 	Mild	Hot	600 		Meat		Y	N	N
Sirloin Steak	 	22.00 	Mild	Hot	550		Meat		Y	N 	N 
Chilli Chicken	 	15.00  	Spicy 	Hot	310		Meat		Y	N	N
Pulled Pork		15.50 	Spicy 	Hot 	550 		Meat		Y 	N 	N
Beef Brisket		18.25	Mild	Hot	400		Meat		Y	N	N
Chicken Wings		12.00	Mild	Cold	400		Meat		Y	N	N
Lamb Stew		15.75	Mild	Hot	300		Meat		Y	N	N
Chicken Fingers		9.00	Mild	Hot	500		Meat		Y	N	N
Spicy Sausage Platter	12.00	Spicy	Cold	450		Meat		Y	N	N
Spaghetti	 	12.50 	Mild 	Hot 	400 		Gluten 		N 	N 	Y
Gluten-Free Noodles 	16.00 	Mild 	Hot 	350 		None 		N 	N 	Y
Spicy Chinese Noodles	9.50	Spicy	Cold	400		Gluten		N	N	Y
Chinese Noodles		9.00	Mild	Cold	350		Gluten		N	N	Y
Carbonara		12.75	Mild	Hot	500		Gluten		N	N	Y
Spicy Thai Noodles	13.50	Spicy	Hot	550		Gluten		N	N	Y
Dynamite Rolls 		15.00 	Mild 	Cold 	400 		None 		N 	Y 	N
Quinoa Sushi Meal 	17.00	Mild 	Cold 	600 		None 		N 	Y 	N
Pad Thai		12.00	Spicy	Hot	450		None		N 	Y	N
Jumbo Fried Shrimps	17.50	Mild	Hot	500		Meat		N	Y	N
Spicy Fried Squid	16.50	Spicy	Cold	550		Meat		N	Y	N
